label,text
1,"Talked to some folks in Winterset this week and answered their questions. I travel to every county every month and held over 1,000 meetings with Iowans last year. Hoping to have even more this year! #IA03 http://pbs.twimg.com/media/DnpmYg2W4AAT-PR.jpg"
1,"The reason I’m running for Attorney General is simple. I want to be able to do the most good for the most people as quickly as possible.
https://www.theguardian.com/us-news/2018/jul/08/keith-ellison-interview-minnesota-attorney-general"
0,"I'm heartbroken to hear how Stevin was treated, but I’m glad policies are now being implemented to protect trans and non-binary individuals in the NYC shelter system. Everyone deserves to be treated with dignity and respect. #TransRightsAreHumanRights. https://thecity.nyc/2019/08/settlement-spawns-new-policies-for-transgender-homeless.html"
0,I urge all Americans to unite behind the President’s defensive decision to strike one of the world’s most powerful terrorists who was organizing attacks against Americans in Iraq in defiance of UN Security Council Resolution 2231.
1,DC should be a state and its residents should enjoy the same protections and representation as other Americans. I was proud to vote today to make #DCStatehood a reality. RT if you support #DCStatehoodNow.
0,"Tonight, #BerniesBackInMN! I hope you’re ready for a warm Minneapolis welcome, @BernieSanders! 🙌🏽 RSVP here: https://act.berniesanders.com/event/event-bernie-sanders/35917/signup http://pbs.twimg.com/media/EId7-nkWoAAyNHO.jpg"
1,I joined with members of the community in #Fitchburg for #VeteranDay commemoration services as well as the for the presentation of the #Veterans Council Appreciation Awards. http://pbs.twimg.com/media/EJHGpOqXUAEH-m_.jpg http://pbs.twimg.com/media/EJHGpOoWoAAxZ6U.jpg
1,"President Trump’s Title X #GagRule makes it significantly harder for women across the country to get the #healthcare they need. I oppose his administration’s efforts to undermine the integrity of #TitleX. 🙅

https://www.columbian.com/news/2019/feb/25/washington-sues-over-president-trumps-abortion-policy/"
1,I joined my fellow Californians Rep. Julia Brownley and Rep. Mike Levin in this op-ed about our recently released Climate Action Plan.  https://www.sfchronicle.com/opinion/openforum/article/California-would-benefit-from-a-climate-crisis-15456150.php
0,"The US must stand with our European allies, support energy diversity &amp; combat Russia’s economic blackmail. I'm grateful for the serious consideration of this bipartisan measure &amp; its passage in committee."
1,"Whether it's safeguarding clean air and clean water for our children, ensuring their access to an excellent education, or stopping family separations at the border, I fight for our children everyday. I'm proud to be named a #Champion4Children! https://www.championsforchildren2017.com/champions?platform=hootsuite"
1,"I was lucky and fortunate to meet these bright @HoustonMOTigers and show them around the Capitol. They performed a full concert at the Lincoln Memorial, putting Missouri's patriotism on display for the world to see!

https://www.houstonherald.com/news/music-takes-hhs-students-to-d-c/article_24106b46-6903-11e8-af49-2f3c9eb700b1.html"
1,"I joined @RepCardenas in sending a letter to House Leadership, urging that any upcoming relief package include a method to track loan applications submitted by minority-owned businesses and their rate of approval."
1,I’m honored to have the opportunity to continue to represent Arizona's First District in Congress and to do even more to support families across our state as we battle this pandemic. (3/5)
0,"Last year, @HouseDemocrats passed the #EqualityAct to end discrimination against the #LGBTQ community. 

As we enter #PrideMonth, I encourage my colleagues in the Senate to take up this important legislation and give our fellow Americans the rights they deserve. #PRIDE2020"
0,I echo the President’s call for more bipartisanship on the big issues facing our nation. Republicans and Democrats must be willing to trust one another and compromise more in order to achieve results that the American people deserve.
0,I spent this morning with the future's brightest as we rounded out Pre-K Week 2017! Thank you for letting me join class today! http://pbs.twimg.com/media/DLdtUZZUMAArvlR.jpg http://pbs.twimg.com/media/DLdtUZZVwAASSa9.jpg http://pbs.twimg.com/media/DLdtUZbUIAEBKeA.jpg
1,I'm proud to be an original cosponsor of this important legislation. http://thehill.com/homenews/house/375659-dems-introduce-assault-weapons-ban
1,@browntailedhawk @kkondik The new maps actually incentivize extremists. I simply know more about all of this than most. Which is fine. Twitter.
0,"Time and again we have to ask, what is the president hiding? We still don’t have his tax returns or the Mueller report. I went on ⁦@ThisWeekABC⁩ to discuss our push for the truth. #ReleaseTheFullReport and #TaxReturns  https://abcnews.go.com/Politics/democrats-push-release-full-mueller-report-president-donald/story?id=62221535"
0,"I think the no-pitch intentional walk is silly, and now it has led to the no-pitch relief appearance #baseball 
https://www.yahoo.com/sports/indians-reliever-oliver-perez-made-history-without-throwing-single-pitch-190924574.html"
1,"Thank you @MichaelNaft for hosting tonight’s important telephone town hall.

I joined @SuptJaraCCSD and representatives from @SNHDinfo and @ClarkCountyNV to discuss efforts at all levels of government to combat the coronavirus outbreak. http://pbs.twimg.com/media/ETbxLg4UUAEc7s_.jpg"
1,"It was great to meet with so many Nebraskans this morning advocating on behalf of the @AlzAssociation. I am a proud cosponsor of the #BOLDACT, which would take significant steps to prevent and treat this devastating disease #EndAlz. http://pbs.twimg.com/media/DgD1PGsX0AAsBHV.jpg"
0,"I hope the editorial boards will accurately report my very public statements. As I have said before, this election is a clear choice. And whether you agree or disagree, you know where I stand and how I vote. #NY21"
1,"The GOP Tax bills short change the Middle Class. I led local economic experts, advocates and constituents in denouncing the bills. #GOPTaxBill http://pbs.twimg.com/ext_tw_video_thumb/930487857579528192/pu/img/gTrJnbYq_wSU57AA.jpg https://video.twimg.com/ext_tw_video/930487857579528192/pu/vid/320x180/HfSUq4yHiNFizYcF.mp4"
0,"I stand by my pledge to vote no on President Trump’s nominee, because the American people deserve the opportunity to make their voices heard in November about this lifetime appointment."
1,"I was the lone vote against the 2001 AUMF that gave presidents blank checks for endless wars. 19 years later and Trump has the authority to attack anyone anywhere. It has to stop.

Repeal the 2001 AUMF."
0,"After significant deliberation, I voted tonight to impeach President Trump. His actions were illegal and pose serious risk to our democratic form of government.

Read my full statement below:

https://schrader.house.gov/newsroom/documentsingle.aspx?DocumentID=392650"
1,"As DHS @AppropsDems Chairwoman, I oversee federal funding for FEMA, and I strongly support FEMA granting more than $19 million to support California’s wildfire response efforts, so our state can keep our residents safe and protect our communities. https://roybal-allard.house.gov/news/documentsingle.aspx?DocumentID=401748"
0,I am grateful to have had the opportunity to know him and learn from his decades of service to the state of New Mexico. My prayers are with his family during this difficult time.
1,I’ve heard @HouseGOP is seeking to shut down House Intel’s Russia investigation- I told press today Democrats will do everything we can to protect the rule of law &amp; get to the bottom of Russia’s attempts to subvert our democracy.
0,I pray for all the victims of today's terrifying attacks. May all patriotic Americans join in eradicating such vile hatred. #Charlottesville
1,"I was proud to sign on to this amicus brief calling on the Supreme Court to uphold reproductive rights and strike down barriers to reproductive care that pose health risks to women.

https://thehill.com/policy/healthcare/472677-house-and-senate-democrats-call-on-supreme-court-to-block-louisiana"
1,"I joined WABE’s “Did You Wash Your Hands?” podcast to discuss our medical and economic response to #COVID19. 

Listen here: https://www.wabe.org/episode/congress-passes-a-record-setting-coronavirus-relief-package/"
0,"The Trump Administration is still trying to end protections for people with preexisting health conditions &amp; end the Healthy Michigan Plan. 

I want to hear how this would affect you &amp; your family. Submit your story here ↓ https://www.peters.senate.gov/healthcarestories"
1,"I'm excited to be joining the dozens of dynamic speakers at the Western Conservative Summit today and tomorrow in Denver, CO!  I’ll be speaking tomorrow morning at 9! #WCS19"
0,"As we continue to monitor the ongoing coronavirus outbreak, I want to commend the great work of @CDCgov in Atlanta as they work with state, local and international partners to help inform and protect our communities.

https://www.ajc.com/news/local-education/georgia-coronavirus-guidance-schools-need-for-drastic-measures/vsNDWSPMHF0qjLa9ECHUAL/"
0,Daniel Wassim from Bismarck is ND’s 2017 @TrumanApp. I can’t wait to see how he uses this experience to make a positive impact in our communities. http://pbs.twimg.com/media/DgP-BDPXcAE0o0O.jpg
0,46 new tweeps followed me in the last week. I find relevant people to follow with the #CopyFollowers feature of http://www.crowdfireapp.com/?r=tw
1,"Stephen Miller's white nationalism has no place in the White House. He must resign. 

We need a president who takes the threat of white nationalism seriously. I have a plan—and I'll start by reversing Trump and Miller's racist policies. https://www.splcenter.org/hatewatch/2019/11/12/stephen-millers-affinity-white-nationalism-revealed-leaked-emails"
1,"The twin tunnels boondoggle is officially dead. I’m incredibly pleased by this news, and I look forward to working with Governor Newsom to identify a path forward that Delta residents can support. https://www.sacbee.com/news/politics-government/capitol-alert/article229949089.html"
1,"For #HispanicHeritageMonth, I joined #FutureCaucus members to share what being a Latina in Congress means to me: http://www.millennialaction.org/events/map-future-caucus-celebrates-hispanic-heritage-month"
1,"#HappyThanksgiving to you and your families! This year, I'm particularly thankful to be lucky enough to represent the fifth district of Illinois. It's an honor and a privilege to bring your voices to Congress. http://pbs.twimg.com/media/EKZmobxXsAIh19Q.jpg"
1,"This week, I cosponsored H.R. 672, a bipartisan bill that will defer federal employees’ federally owned student loan payments until after a government shutdown ends.

https://grothman.house.gov/news/documentsingle.aspx?DocumentID=913"
0,"I've shared the math for half a dozen different income levels and family situations on Twitter and Facebook, but the real proof tax reform works for you will be in your paycheck next year. http://www.richmond.com/opinion/our-opinion/editorial-bottom-line-gop-tax-reform-s-good-for-the/article_fe813ecc-b16c-543b-a337-03ff9de9f0ba.html"
1,I believe that protecting net neutrality is critical because all Americans should have access to a free and open internet. I joined my colleagues urging the @FCC to delay their vote on #NetNeutrality. http://pbs.twimg.com/tweet_video_thumb/DQ9MIR5WsAEdGQq.jpg https://video.twimg.com/tweet_video/DQ9MIR5WsAEdGQq.mp4
1,@IndvSanJoseAdmn Thanks for your leadership. I am pushing the Peace Act to change the standard of force. We need a comprehensive approach to pass the House. Appreciate your advocacy.
1,"Earlier this morning, I chatted w/ @cvpayne on @Varneyco about #Obamacare repeal progress &amp; immigration bills. WATCH https://youtu.be/mN8PHyCBHcI"
1,"Before becoming an elected official, I worked for many years in civil rights. Then, now and forever I will continue to express that sexual harassment and assault is unacceptable and inexcusable."
1,"I have hosted multiple career fairs featuring top 100 employers in St. Louis from all sectors of the local economy, making over 100,000 federal jobs available to learn about and apply for worldwide."
0,"Today, I #WearWhite with @HouseDemWomen because women have been at the forefront of the fight for equal pay, affordable health care, reproductive freedom and safety from violence and discrimination. 

We demand equality because women’s rights are human rights! #WomenUnited http://pbs.twimg.com/media/EP-X1sZXUBAXclP.jpg"
1,Thx @SuzGamboa @NBCLatino for this wonderful profile of my time in #Congress. I’m humbled to be recognized by @TheCHLI but the ultimate honor is the trust my constituents place in me https://www.nbcnews.com/news/amp/ncna864456#click=https://t.co/DDsb1Dn7JL
1,"I want to congratulate @Kenan4Iowa on his victory tonight. He ran a tremendous campaign, and I was proud to endorse his candidacy in August's #iapolitics http://pbs.twimg.com/media/DrX8mVUV4AAdPef.jpg"
0,@NateforSMOB @Emma4Change You are the best agents for change that America has! Stand in your power! Demand accountability for the future you have yet to live. I am fighting with you always . #endgunviolence #hope4change #4everJordan❤️ #neveragain💪🏽
0,I enjoyed stopping by some precincts today to talk to voters and thank our volunteers. Tennessee: you still have four hours left to vote! #GoVoteTN http://pbs.twimg.com/media/Eew2zKtXoAAhUsq.jpg http://pbs.twimg.com/media/Eew2zKuWkA0eEzh.jpg http://pbs.twimg.com/media/Eew2zMWWkAY7uUz.jpg http://pbs.twimg.com/media/Eew2zMWXkAA9Lp_.jpg
1,"I will speak live with reporters in just under an hour. #ABetterDeal

You can tune in here: https://www.facebook.com/NancyPelosi/videos/10156736828759384/"
0,"Yesterday, I visited a testing site in Union City serving the people of North Hudson and run by North Hudson Community Action Corporation where 300-400 tests are being done each day. http://pbs.twimg.com/media/EX_e5ZlX0AcgbT0.jpg http://pbs.twimg.com/media/EX_e5ZlWsAEBEt2.jpg http://pbs.twimg.com/media/EX_e5ZmXkAEFLvS.jpg"
0,"I see a passion among women who understand that if you sit at home and don’t go out and participate, you lose what’s important to you. Proud of all the women who are making their voices heard.
https://www.thecut.com/2018/01/women-candidates-2018-elections.html"
0,I cannot divine anyone’s intentions but this is what their proposal actually does. https://twitter.com/washingtonpost/status/960936662296616960 QT @washingtonpost Analysis: Trump immigration plan could keep whites in U.S. majority for up to five more years https://trib.al/WxgKKH1
0,"Thank you, Lee Ann, for your letter. I get to travel to all corners of our region constantly, but marching in the Ridgefield Parade is always a highlight!
http://www.thereflector.com/opinion/article_ca67a062-8f65-11e8-bff1-d34ea62923b0.html"
0,"I will say it again: Republicans in Washington have absolutely *nothing* to run on. They're bankrupt of ideas. The politics of fear is their only avenue. -NP

https://apnews.com/7249c46323574be381a856178c9fffff"
0,"#ShirleyChisholm paved the way for millions of women and young girls to dream an unthinkable dream, especially for women like me, who currently serve in Congress. I can because she did."
1,"Last week, I spoke with @DanaPerino on @FoxNews about the importance of growing our economy. We must do better than the last eight years with 1.5% economic growth.

You can watch the entire clip from @dailybriefing here: http://bit.ly/2A9LCyV http://pbs.twimg.com/media/DPuhqfLWsAA_3k9.jpg"
0,"With a growing economy and attacks on the free market, I look forward to working with @realDonaldTrump to defend capitalism and take on socialism in 2020."
1,"This morning, I had a chance to meet with @POTUS to talk about #immigration.  Here is a statement on our meeting: 
https://love.house.gov/press-releases/rep-mia-love-statement-on-white-house-meeting/
#utpol"
1,"@barryjgrossman @CoryBooker @SenKamalaHarris It's terrible Barry. I posted yesterday too, and I'm holding a press conference on it now with Gov-elect Murphy and Rep @FrankPallone. Watch here: https://www.facebook.com/senatormenendez/"
1,"Two decades ago, NRA ghouls bought off Republicans to block @CDC from researching gun violence. I’m honored beyond words that the legislation finally ending this public health crisis is attached to my bill.

https://www.nbcnews.com/politics/congress/millions-gun-safety-research-approved-congress-first-time-decades-n1102891?cid=sm_npd_nn_tw_ma"
1,"Today, I am chairing a House Veterans’ Affairs Subcommittee on Health hearing to examine the full spectrum of reproductive healthcare available to veterans, including contraception access, prenatal and maternity care, and infertility treatment and resources."
0,"Gee, I wonder who could be behind this troll campaign?   
https://insideclimatenews.org/news/16092019/trollbot-twitter-climate-change-attacks-disinformation-campaign-mann-mckenna-greta-targeted"
0,"I stand with the @MineWorkers, @steelworkers, @Teamsters, @SenSherrodBrown, and many more in protecting workers from pension cuts! We MUST #FixIt! http://pbs.twimg.com/media/DiPAukHW0AEgisA.jpg"
0,"As for me, I know that my vindicator lives, and that he will at last stand forth upon the dust.

Job 19:25"
1,Yesterday I chaired an Interior Approps Subcmte hearing to examine the FY20 budget request for the @Interior. I discussed a range of priorities that could benefit rural Alaska w/ @SecBernhardt.
0,Thank you to the Dunwoody Homeowners Association for giving me the opportunity to participate in their candidate forum today. I appreciate so many members of the Dunwoody community making time to attend on a Sunday afternoon. http://pbs.twimg.com/media/DqE2Nj3V4AAY5xQ.jpg
0,"Feeing good about our @UMichFootball team. @RepBeatty, I’ll bet you @zingermans on the game? #GoBlue #TheGame"
0,"Thank you to the ladies who came all the way from Birmingham to drop off this sweet treat at my D.C. office.

I agree – Amb. Bolton MUST testify! We need a fair trial, not a coverup. http://pbs.twimg.com/media/EPeu_k5XkAMiVgg.jpg"
0,Congratulations to Breckenridge for making the @usnews best small towns in America list! I think it comes as no surprise that 2 other Colorado towns also made the list. https://travel.usnews.com/rankings/best-small-towns-in-the-usa/
1,I got a chance to vote to save taxpayer money this morning in the Transportation Committee! Pleased to support good government legislation reforming the GSA’s management of our government real estate assets. https://transportation.house.gov/news/documentsingle.aspx?DocumentID=402646 #MN02
1,"Today Americans are taking to the streets to say that #ScienceMatters. I agree, which is why I’m fighting @realDonaldTrump &amp; @EPAScottPruitt’s attacks on scientific integrity. #MarchForScience"
1,"I have worked to deliver universal health care with a Medicare-X public option plan for years, and I'm pleased Vice President Biden today introduced a very similar plan."
1,I strongly support the #CARESAct. Read my statement below. http://pbs.twimg.com/media/EUIlpokWkAE0PIF.jpg
0,"I have no tolerance for bigots. This type of harassment should never happen. We must continue to come together to end the intolerance growing in our country. 
https://www.bbc.com/news/world-us-canada-44788850"
1,Great to be in Cadott today with @SenJeffMerkley talking to dairy farmers about #FarmBill18. I was proud to work to secure improved risk management tools to support our dairy farmers and boost our ag economy. http://pbs.twimg.com/media/Dg45gVmWAAE_RU7.jpg
0,@bcondotta Do you mean that the @Seahawks have only to win 1 of its last two games? What if they lose tonight? I'm kidding.
0,"I was honored to see President George H.W. Bush last night, as he lay in state in the US Capitol. Today, I attended his funeral at the National Cathedral. http://pbs.twimg.com/media/DtrfruKW0AEIPZp.jpg"
0,I’m told a group of my @GOP colleagues were in a train accident this morning. It is my great hope that all involved are safe and unharmed.
1,I stand with @RosaDelauro and over 180 colleagues to call to protect good American jobs by fighting for fair labor and human rights standards in Mexico. https://delauro.house.gov/sites/delauro.house.gov/files/USTR%20NAFTA%20Letter%201.23.2018.pdf
1,"From supporting term limits to closing the revolving door between Congress and lobbying, I’m standing strong against politics as usual. I’m putting Montana first. http://pbs.twimg.com/ext_tw_video_thumb/1054036354714222593/pu/img/LXRmTziAKbWQtkkh.jpg https://video.twimg.com/ext_tw_video/1054036354714222593/pu/vid/320x180/fMwc1OJTCboaD8bK.mp4?tag=5"
0,"During this #NationalVolunteerWeek, I'm proud of everyone who has stepped up to help out their communities in this time of need during #COVID19, including several members of my team. Here are some of the ways they've been giving back:"
0,"This week, I met with the city of Flagstaff to discuss flood infrastructure funding in #AZ01. Thank you to all who stopped by. http://pbs.twimg.com/media/ELrr-YKXkAEN1xr.jpg"
0,"As a former Speaker in NC, I know how difficult it is to manage a diverse caucus with different viewpoints and push major legislation. (1/4)"
0,We need to do everything in our power to support their efforts. I urge the Administration to move expediently in creating this vital National Public Health Corps. 4/4
1,"I may be the first South American member of Congress, but I am determined to not be the last.

That's why I was thrilled to join @EvaLongoria &amp; some amazing Latina candidates for the launch of @LatinoVictoryUS' #FirstLatinas program! http://pbs.twimg.com/media/EdkPfauWsAEgc1N.png"
1,"I made a promise to 800,000 #DREAMers to fight for their security in the United States after they were put at risk by President Trump. I refuse to support a government funding bill that does not accomplish that goal."
0,I'm disheartened by the scenes at UVA. There is no place for hatred like this in our country. #Charlottesville
0,"On this, I agree with @realDonaldTrump. https://twitter.com/realDonaldTrump/status/908768057140629506 QT @realDonaldTrump NEVER forget our HEROES held prisoner or who have gone missing in action while serving their country.
Proclamation: http://45.wh.gov/POWMIARecognitionDay http://pbs.twimg.com/media/DJyXtbbUEAA0CcN.jpg"
1,"No matter what's happening in Washington, I'm fighting to keep Michigan safe every day.https://www.wnem.com/news/sen-peters-introduces-bill-to-strengthen-state-s-cybersecurity/article_2d9c9b80-3ec7-11ea-a591-af430b537376.html"
1,I will be on @900amWURD on @tunein http://tun.in/sepbn at Noon today to talk about Food Security and other issues. Please listen in.
0,"I want to work with @RealDonaldTrump to bring jobs home, support our manufacturers, and end outsourcing that hurts #Michigan workers."
1,"I enjoyed meeting with Poquoson Mayor Gene Hunt and City Manager Randy Wheeler this morning. We discussed multiple topics such as sea level rise, federal flood insurance, and infrastructure. It’s always a joy to be in Poquoson! http://pbs.twimg.com/media/EC6qY7dXkAMgYGf.jpg"
1,I'm pleased the Military Widow's Tax Elimination Act - legislation I cosponsored - passed the Senate today. We have a duty to protect and care for the families of service members who gave their lives in service to our country.
1,"At 4:35 EDT, I’ll be joining @hammerandnigel live on @93wibc to discuss the latest on #coronavirus. Listen here: https://www.wibc.com/show/hammer-nigel/"
1,"To address the Medicaid Cliff, I have introduced H.R. 2306, the Puerto Rico Medicaid Act, which seeks to strengthen the Medicaid program in #PuertoRico by increasing the cap and removing the statutory FMAP limitations http://pbs.twimg.com/media/D7QjQdWXoAInCnu.jpg"
0,I am honored. https://twitter.com/wooliverm/status/1238576037899972608 QT @WooliverM @timburchett @SpeakerPelosi We here in TN appreciate you
0,I've been a Benny's customer for decades. Very sorry to hear about this.  http://wpri.com/2017/09/08/bennys-to-close-all-31-stores-this-year/amp/
0,"Although I was in DC to vote today, I am glad my staff was able to represent our office during the Farm Bureau roundtable with USTR Ambassador Chief Ag Negotiator Gregg Doud and @IAGovernor. http://pbs.twimg.com/media/DfNAZKQX4AMeZ3n.jpg"
1,"Congrats to Virginia on passing the #EqualRightsAmendment! I am a proud co-sponsor of the Equal Rights Amendment in Congress and the time for ratification of the Amendment is now.
https://www.washingtonpost.com/local/virginia-politics/2020/01/15/0475d51a-36f1-11ea-9541-9107303481a4_story.html”"
